scope,key,n_responses,avg_C1,avg_C2,avg_C3,avg_C4,avg_total
domain+label,"('Politics', 'introspective')",36,9.5,9.94,8.72,9.25,37.42
domain+label,"('Politics', 'ecot')",36,7.17,9.19,6.75,6.47,29.58
domain+label,"('Politics', 'deepdialogue')",36,6.89,9.22,6.97,6.17,29.25
domain+label,"('Politics', 'baseline')",36,6.94,9.47,6.78,6.39,29.58
domain+label,"('Fashion', 'introspective')",44,9.3,10.0,9.2,9.23,37.73
domain+label,"('Fashion', 'ecot')",44,7.09,9.95,7.98,7.11,32.14
domain+label,"('Fashion', 'deepdialogue')",44,8.27,9.73,8.84,8.09,34.93
domain+label,"('Fashion', 'baseline')",44,7.66,9.98,8.11,7.41,33.16
domain+label,"('Podcasts', 'introspective')",5,9.6,10.0,9.2,9.2,38.0
domain+label,"('Podcasts', 'ecot')",5,7.4,10.0,7.6,7.0,32.0
domain+label,"('Podcasts', 'deepdialogue')",5,7.6,10.0,8.6,7.4,33.6
domain+label,"('Podcasts', 'baseline')",5,8.6,10.0,8.8,8.2,35.6
domain+label,"('Music', 'introspective')",4,8.5,10.0,9.25,8.75,36.5
domain+label,"('Music', 'ecot')",4,7.25,9.25,7.5,6.75,30.75
domain+label,"('Music', 'deepdialogue')",4,8.5,9.25,8.75,8.0,34.5
domain+label,"('Music', 'baseline')",4,8.5,9.75,9.0,8.5,35.75
domain+label,"('Shopping', 'introspective')",27,8.89,10.0,9.11,8.96,36.96
domain+label,"('Shopping', 'ecot')",27,7.22,9.96,7.93,7.37,32.48
domain+label,"('Shopping', 'deepdialogue')",27,7.52,10.0,8.63,7.48,33.63
domain+label,"('Shopping', 'baseline')",27,7.85,10.0,8.0,7.37,33.22
domain+label,"('Health', 'introspective')",22,9.09,10.0,9.23,9.09,37.41
domain+label,"('Health', 'ecot')",22,7.09,10.0,8.32,7.59,33.0
domain+label,"('Health', 'deepdialogue')",22,7.86,10.0,9.18,7.95,35.0
domain+label,"('Health', 'baseline')",22,7.64,9.95,7.82,7.27,32.68
domain+label,"('Nature', 'introspective')",42,9.45,9.95,9.4,9.4,38.21
domain+label,"('Nature', 'ecot')",42,6.93,9.95,7.67,7.05,31.6
domain+label,"('Nature', 'deepdialogue')",42,7.6,10.0,8.4,7.43,33.43
domain+label,"('Nature', 'baseline')",42,6.67,9.86,7.02,6.14,29.69
domain+label,"('Cooking', 'introspective')",39,9.08,10.0,9.38,9.13,37.59
domain+label,"('Cooking', 'ecot')",39,7.44,10.0,8.23,7.59,33.26
domain+label,"('Cooking', 'deepdialogue')",39,7.31,10.0,8.67,7.46,33.44
domain+label,"('Cooking', 'baseline')",39,6.54,10.0,7.49,6.54,30.56
domain+label,"('Science', 'introspective')",20,9.1,10.0,8.2,8.65,35.95
domain+label,"('Science', 'ecot')",20,4.75,10.0,6.2,4.75,25.7
domain+label,"('Science', 'deepdialogue')",20,4.8,10.0,7.3,4.75,26.85
domain+label,"('Science', 'baseline')",20,7.6,9.95,7.3,7.3,32.15
domain+label,"('Spirituality', 'introspective')",16,9.5,10.0,9.69,9.56,38.75
domain+label,"('Spirituality', 'ecot')",16,7.31,9.94,7.94,7.19,32.38
domain+label,"('Spirituality', 'deepdialogue')",16,8.69,10.0,9.25,8.69,36.62
domain+label,"('Spirituality', 'baseline')",16,8.69,10.0,8.88,8.44,36.0
domain+label,"('Events', 'introspective')",10,9.4,10.0,9.2,9.4,38.0
domain+label,"('Events', 'ecot')",10,6.3,10.0,7.6,6.7,30.6
domain+label,"('Events', 'deepdialogue')",10,6.7,10.0,8.3,6.9,31.9
domain+label,"('Events', 'baseline')",10,6.8,10.0,7.2,6.4,30.4
domain+label,"('Gardening', 'introspective')",28,9.07,10.0,9.39,9.32,37.79
domain+label,"('Gardening', 'ecot')",28,7.04,10.0,8.11,7.11,32.25
domain+label,"('Gardening', 'deepdialogue')",28,8.14,10.0,9.07,8.04,35.25
domain+label,"('Gardening', 'baseline')",28,7.43,10.0,7.79,7.0,32.21
domain+label,"('Philosophy', 'introspective')",24,9.0,10.0,9.29,9.33,37.62
domain+label,"('Philosophy', 'ecot')",24,7.08,9.88,7.67,7.0,31.62
domain+label,"('Philosophy', 'deepdialogue')",24,7.67,10.0,8.42,7.67,33.75
domain+label,"('Philosophy', 'baseline')",24,7.33,10.0,8.12,7.25,32.71
domain+label,"('Cars', 'introspective')",25,8.52,10.0,9.04,8.56,36.12
domain+label,"('Cars', 'ecot')",25,6.56,9.92,7.56,6.68,30.72
domain+label,"('Cars', 'deepdialogue')",25,7.24,9.96,8.12,6.96,32.28
domain+label,"('Cars', 'baseline')",25,7.36,9.96,7.36,7.04,31.72
domain+label,"('Pets', 'introspective')",10,9.5,10.0,9.6,9.5,38.6
domain+label,"('Pets', 'ecot')",10,7.8,10.0,8.7,8.0,34.5
domain+label,"('Pets', 'deepdialogue')",10,8.8,10.0,9.3,8.6,36.7
domain+label,"('Pets', 'baseline')",10,8.6,9.9,8.8,8.3,35.6
domain+label,"('Weather', 'introspective')",28,9.71,10.0,9.29,9.64,38.64
domain+label,"('Weather', 'ecot')",28,6.29,10.0,7.25,6.39,29.93
domain+label,"('Weather', 'deepdialogue')",28,7.32,10.0,8.46,7.18,32.96
domain+label,"('Weather', 'baseline')",28,8.46,10.0,7.68,7.71,33.86
domain+label,"('History', 'introspective')",14,9.64,10.0,9.36,9.5,38.5
domain+label,"('History', 'ecot')",14,5.07,10.0,5.86,5.0,25.93
domain+label,"('History', 'deepdialogue')",14,5.29,10.0,6.93,5.07,27.29
domain+label,"('History', 'baseline')",14,5.57,10.0,6.29,4.93,26.79
domain+label,"('Coding', 'introspective')",27,8.85,10.0,8.67,8.85,36.37
domain+label,"('Coding', 'ecot')",27,7.11,10.0,8.26,7.37,32.74
domain+label,"('Coding', 'deepdialogue')",27,6.7,10.0,8.93,6.81,32.44
domain+label,"('Coding', 'baseline')",27,7.33,9.93,7.48,7.0,31.74
domain+label,"('Relationships', 'introspective')",17,8.59,10.0,8.82,8.88,36.29
domain+label,"('Relationships', 'ecot')",17,6.71,9.94,7.71,6.76,31.12
domain+label,"('Relationships', 'deepdialogue')",17,6.76,10.0,8.35,6.59,31.71
domain+label,"('Relationships', 'baseline')",17,6.47,9.88,7.29,6.18,29.82
domain+label,"('News', 'introspective')",29,9.45,10.0,8.69,9.24,37.38
domain+label,"('News', 'ecot')",29,5.86,9.38,6.38,5.45,27.07
domain+label,"('News', 'deepdialogue')",29,5.83,9.55,7.1,5.28,27.76
domain+label,"('News', 'baseline')",29,8.21,9.86,7.62,7.83,33.52
domain+label,"('Education', 'introspective')",10,9.6,10.0,9.0,9.0,37.6
domain+label,"('Education', 'ecot')",10,7.2,10.0,7.9,6.8,31.9
domain+label,"('Education', 'deepdialogue')",10,7.1,10.0,8.3,6.7,32.1
domain+label,"('Education', 'baseline')",10,7.2,10.0,7.6,6.8,31.6
domain+label,"('Makeup', 'introspective')",4,8.75,10.0,8.5,8.5,35.75
domain+label,"('Makeup', 'ecot')",4,7.0,9.75,7.5,7.0,31.25
domain+label,"('Makeup', 'deepdialogue')",4,8.0,10.0,8.75,7.5,34.25
domain+label,"('Makeup', 'baseline')",4,7.75,9.75,8.0,7.75,33.25
domain+label,"('Movies', 'introspective')",8,9.75,10.0,9.38,9.25,38.38
domain+label,"('Movies', 'ecot')",8,8.0,10.0,8.0,7.38,33.38
domain+label,"('Movies', 'deepdialogue')",8,6.62,10.0,7.88,6.25,30.75
domain+label,"('Movies', 'baseline')",8,8.62,10.0,8.5,8.12,35.25
domain+label,"('Food', 'introspective')",11,9.55,10.0,9.73,9.64,38.91
domain+label,"('Food', 'ecot')",11,5.82,10.0,7.55,6.36,29.73
domain+label,"('Food', 'deepdialogue')",11,7.09,10.0,8.91,7.27,33.27
domain+label,"('Food', 'baseline')",11,5.27,10.0,6.55,5.18,27.0
domain+label,"('Celebrities', 'introspective')",15,9.27,10.0,9.27,9.0,37.53
domain+label,"('Celebrities', 'ecot')",15,5.53,10.0,6.27,4.87,26.67
domain+label,"('Celebrities', 'deepdialogue')",15,5.67,10.0,7.2,5.13,28.0
domain+label,"('Celebrities', 'baseline')",15,7.47,10.0,8.13,7.0,32.6
domain+label,"('Art', 'introspective')",7,10.0,10.0,9.43,9.71,39.14
domain+label,"('Art', 'ecot')",7,6.71,10.0,7.86,7.0,31.57
domain+label,"('Art', 'deepdialogue')",7,5.57,10.0,7.57,5.43,28.57
domain+label,"('Art', 'baseline')",7,7.14,10.0,7.71,6.29,31.14
