scope,key,n_responses,avg_C1,avg_C2,avg_C3,avg_C4,avg_total
domain+label,"('Work', 'deepdialogue')",1,10.0,10.0,10.0,10.0,40.0
domain+label,"('Work', 'baseline')",1,9.0,9.0,9.0,9.0,36.0
domain+label,"('Politics', 'introspective')",5,9.6,10.0,9.4,9.6,38.6
domain+label,"('Politics', 'ecot')",5,7.0,8.6,7.2,6.4,29.2
domain+label,"('Politics', 'deepdialogue')",5,8.4,9.4,8.8,7.2,33.8
domain+label,"('Politics', 'baseline')",5,9.6,9.8,9.2,9.4,38.0
domain+label,"('Fashion', 'introspective')",6,9.5,10.0,9.5,9.5,38.5
domain+label,"('Fashion', 'ecot')",6,8.5,9.67,9.0,8.17,35.33
domain+label,"('Fashion', 'deepdialogue')",6,9.33,9.67,9.33,9.17,37.5
domain+label,"('Fashion', 'baseline')",6,8.67,9.83,9.0,8.5,36.0
domain+label,"('Podcasts', 'introspective')",1,10.0,10.0,9.0,10.0,39.0
domain+label,"('Podcasts', 'ecot')",1,10.0,10.0,9.0,9.0,38.0
domain+label,"('Podcasts', 'deepdialogue')",1,10.0,10.0,10.0,10.0,40.0
domain+label,"('Podcasts', 'baseline')",1,10.0,10.0,9.0,9.0,38.0
domain+label,"('Music', 'introspective')",1,8.0,10.0,9.0,8.0,35.0
domain+label,"('Music', 'ecot')",1,7.0,9.0,9.0,7.0,32.0
domain+label,"('Music', 'deepdialogue')",1,9.0,9.0,10.0,9.0,37.0
domain+label,"('Music', 'baseline')",1,8.0,9.0,8.0,8.0,33.0
domain+label,"('Shopping', 'introspective')",4,9.5,10.0,9.5,9.25,38.25
domain+label,"('Shopping', 'ecot')",4,8.75,9.75,9.0,8.5,36.0
domain+label,"('Shopping', 'deepdialogue')",4,9.25,10.0,9.5,9.0,37.75
domain+label,"('Shopping', 'baseline')",4,9.5,10.0,9.5,9.25,38.25
domain+label,"('Health', 'introspective')",3,9.33,10.0,9.67,9.33,38.33
domain+label,"('Health', 'ecot')",3,8.67,10.0,9.33,8.67,36.67
domain+label,"('Health', 'deepdialogue')",3,10.0,10.0,10.0,9.67,39.67
domain+label,"('Health', 'baseline')",3,8.67,9.67,8.67,8.67,35.67
domain+label,"('Nature', 'introspective')",6,9.67,10.0,9.67,9.67,39.0
domain+label,"('Nature', 'ecot')",6,8.33,9.67,8.83,8.17,35.0
domain+label,"('Nature', 'deepdialogue')",6,9.83,10.0,9.83,9.67,39.33
domain+label,"('Nature', 'baseline')",6,8.83,9.67,8.67,8.33,35.5
domain+label,"('Cooking', 'introspective')",4,9.75,10.0,10.0,9.75,39.5
domain+label,"('Cooking', 'ecot')",4,8.75,10.0,9.75,8.75,37.25
domain+label,"('Cooking', 'deepdialogue')",4,10.0,10.0,10.0,10.0,40.0
domain+label,"('Cooking', 'baseline')",4,9.0,10.0,9.0,8.75,36.75
domain+label,"('Science', 'introspective')",2,9.5,10.0,9.5,9.5,38.5
domain+label,"('Science', 'ecot')",2,9.0,10.0,9.5,9.0,37.5
domain+label,"('Science', 'deepdialogue')",2,9.5,10.0,10.0,9.5,39.0
domain+label,"('Science', 'baseline')",2,9.0,9.5,9.0,9.0,36.5
domain+label,"('Spirituality', 'introspective')",2,10.0,10.0,10.0,10.0,40.0
domain+label,"('Spirituality', 'ecot')",2,9.0,9.5,9.5,8.5,36.5
domain+label,"('Spirituality', 'deepdialogue')",2,10.0,10.0,10.0,10.0,40.0
domain+label,"('Spirituality', 'baseline')",2,9.5,10.0,10.0,9.0,38.5
domain+label,"('Events', 'introspective')",2,9.0,10.0,9.0,9.0,37.0
domain+label,"('Events', 'ecot')",2,8.0,10.0,8.5,8.0,34.5
domain+label,"('Events', 'deepdialogue')",2,9.5,10.0,10.0,9.5,39.0
domain+label,"('Events', 'baseline')",2,9.0,10.0,8.5,9.0,36.5
domain+label,"('Gardening', 'introspective')",3,9.33,10.0,9.67,9.33,38.33
domain+label,"('Gardening', 'ecot')",3,8.67,10.0,10.0,8.67,37.33
domain+label,"('Gardening', 'deepdialogue')",3,10.0,10.0,10.0,10.0,40.0
domain+label,"('Gardening', 'baseline')",3,9.0,10.0,9.33,9.0,37.33
domain+label,"('Philosophy', 'introspective')",3,9.33,10.0,9.33,9.33,38.0
domain+label,"('Philosophy', 'ecot')",3,7.67,9.0,8.0,7.33,32.0
domain+label,"('Philosophy', 'deepdialogue')",3,10.0,10.0,10.0,10.0,40.0
domain+label,"('Philosophy', 'baseline')",3,8.67,10.0,9.33,8.67,36.67
domain+label,"('Cars', 'introspective')",3,9.67,10.0,9.67,9.33,38.67
domain+label,"('Cars', 'ecot')",3,8.67,10.0,9.33,9.0,37.0
domain+label,"('Cars', 'deepdialogue')",3,10.0,10.0,9.67,9.67,39.33
domain+label,"('Cars', 'baseline')",3,9.0,10.0,8.67,8.67,36.33
domain+label,"('Pets', 'introspective')",2,9.5,10.0,9.5,9.5,38.5
domain+label,"('Pets', 'ecot')",2,8.0,10.0,8.5,7.5,34.0
domain+label,"('Pets', 'deepdialogue')",2,9.5,10.0,10.0,9.5,39.0
domain+label,"('Pets', 'baseline')",2,8.5,9.5,8.5,8.0,34.5
domain+label,"('Weather', 'introspective')",3,10.0,10.0,10.0,10.0,40.0
domain+label,"('Weather', 'ecot')",3,9.67,10.0,10.0,9.67,39.33
domain+label,"('Weather', 'deepdialogue')",3,10.0,10.0,10.0,10.0,40.0
domain+label,"('Weather', 'baseline')",3,10.0,10.0,10.0,10.0,40.0
domain+label,"('History', 'introspective')",2,10.0,10.0,10.0,10.0,40.0
domain+label,"('History', 'ecot')",2,8.5,10.0,9.0,8.5,36.0
domain+label,"('History', 'deepdialogue')",2,10.0,10.0,10.0,10.0,40.0
domain+label,"('History', 'baseline')",2,10.0,10.0,10.0,10.0,40.0
domain+label,"('Coding', 'introspective')",3,9.0,10.0,9.0,9.0,37.0
domain+label,"('Coding', 'ecot')",3,9.33,10.0,10.0,9.33,38.67
domain+label,"('Coding', 'deepdialogue')",3,10.0,10.0,10.0,10.0,40.0
domain+label,"('Coding', 'baseline')",3,8.33,9.33,8.67,8.33,34.67
domain+label,"('Relationships', 'introspective')",2,9.0,10.0,9.0,9.0,37.0
domain+label,"('Relationships', 'ecot')",2,8.0,9.5,9.5,7.5,34.5
domain+label,"('Relationships', 'deepdialogue')",2,9.5,10.0,10.0,9.0,38.5
domain+label,"('Relationships', 'baseline')",2,8.0,9.0,8.0,8.0,33.0
domain+label,"('News', 'introspective')",3,10.0,10.0,10.0,10.0,40.0
domain+label,"('News', 'ecot')",3,7.67,8.67,8.33,7.33,32.0
domain+label,"('News', 'deepdialogue')",3,9.33,9.33,9.33,8.67,36.67
domain+label,"('News', 'baseline')",3,10.0,10.0,10.0,10.0,40.0
domain+label,"('Education', 'introspective')",1,10.0,10.0,10.0,10.0,40.0
domain+label,"('Education', 'ecot')",1,8.0,10.0,10.0,8.0,36.0
domain+label,"('Education', 'deepdialogue')",1,10.0,10.0,10.0,10.0,40.0
domain+label,"('Education', 'baseline')",1,9.0,10.0,9.0,9.0,37.0
domain+label,"('Makeup', 'introspective')",1,9.0,10.0,8.0,9.0,36.0
domain+label,"('Makeup', 'ecot')",1,8.0,9.0,8.0,8.0,33.0
domain+label,"('Makeup', 'deepdialogue')",1,10.0,10.0,10.0,9.0,39.0
domain+label,"('Makeup', 'baseline')",1,7.0,9.0,8.0,7.0,31.0
domain+label,"('Movies', 'introspective')",1,10.0,10.0,10.0,10.0,40.0
domain+label,"('Movies', 'ecot')",1,9.0,10.0,9.0,9.0,37.0
domain+label,"('Movies', 'deepdialogue')",1,10.0,10.0,10.0,10.0,40.0
domain+label,"('Movies', 'baseline')",1,10.0,10.0,10.0,10.0,40.0
domain+label,"('Food', 'introspective')",1,10.0,10.0,10.0,10.0,40.0
domain+label,"('Food', 'ecot')",1,8.0,10.0,10.0,8.0,36.0
domain+label,"('Food', 'deepdialogue')",1,10.0,10.0,10.0,10.0,40.0
domain+label,"('Food', 'baseline')",1,10.0,10.0,10.0,8.0,38.0
domain+label,"('Celebrities', 'introspective')",2,9.5,10.0,10.0,9.5,39.0
domain+label,"('Celebrities', 'ecot')",2,9.0,10.0,9.5,9.0,37.5
domain+label,"('Celebrities', 'deepdialogue')",2,10.0,10.0,10.0,10.0,40.0
domain+label,"('Celebrities', 'baseline')",2,9.0,10.0,9.0,9.0,37.0
domain+label,"('Art', 'introspective')",1,10.0,10.0,10.0,10.0,40.0
domain+label,"('Art', 'ecot')",1,10.0,10.0,10.0,10.0,40.0
domain+label,"('Art', 'deepdialogue')",1,10.0,10.0,10.0,10.0,40.0
domain+label,"('Art', 'baseline')",1,10.0,10.0,10.0,10.0,40.0
